region,category,parameter,mode,powertrain,year,unit,value
Norway,Historical,EV sales,Cars,PHEV,2013,sales,340
Norway,Historical,EV sales,Cars,BEV,2013,sales,7900
Norway,Historical,EV sales,Cars,BEV,2014,sales,18000
Norway,Historical,EV sales,Cars,PHEV,2014,sales,1700
Norway,Historical,EV sales,Cars,PHEV,2015,sales,8000
Norway,Historical,EV sales,Cars,BEV,2015,sales,26000
Norway,Historical,EV sales,Cars,BEV,2016,sales,24000
Norway,Historical,EV sales,Cars,PHEV,2016,sales,21000
Norway,Historical,EV sales,Cars,PHEV,2017,sales,29000
Norway,Historical,EV sales,Cars,BEV,2017,sales,33000
Norway,Historical,EV sales,Cars,BEV,2018,sales,46000
Norway,Historical,EV sales,Cars,PHEV,2018,sales,27000
Norway,Historical,EV sales,Cars,PHEV,2019,sales,19000
Norway,Historical,EV sales,Cars,BEV,2019,sales,60000
Norway,Historical,EV sales,Cars,BEV,2020,sales,77000
Norway,Historical,EV sales,Cars,PHEV,2020,sales,29000
Norway,Historical,EV sales,Cars,PHEV,2021,sales,38000
Norway,Historical,EV sales,Cars,BEV,2021,sales,110000
Other Europe,Historical,EV sales,Cars,BEV,2011,sales,870
Other Europe,Historical,EV sales,Cars,PHEV,2011,sales,19
Other Europe,Historical,EV sales,Cars,PHEV,2012,sales,360
Other Europe,Historical,EV sales,Cars,BEV,2012,sales,1400
Other Europe,Historical,EV sales,Cars,BEV,2013,sales,1100
Other Europe,Historical,EV sales,Cars,PHEV,2013,sales,270
Other Europe,Historical,EV sales,Cars,PHEV,2014,sales,790
Other Europe,Historical,EV sales,Cars,BEV,2014,sales,2700
Other Europe,Historical,EV sales,Cars,BEV,2015,sales,3300
Other Europe,Historical,EV sales,Cars,PHEV,2015,sales,1900
Other Europe,Historical,EV sales,Cars,PHEV,2016,sales,2300
Other Europe,Historical,EV sales,Cars,BEV,2016,sales,5400
Other Europe,Historical,EV sales,Cars,BEV,2017,sales,8800
Other Europe,Historical,EV sales,Cars,PHEV,2017,sales,4200
Other Europe,Historical,EV sales,Cars,PHEV,2018,sales,5200
Other Europe,Historical,EV sales,Cars,BEV,2018,sales,13000
Other Europe,Historical,EV sales,Cars,BEV,2019,sales,20000
Other Europe,Historical,EV sales,Cars,PHEV,2019,sales,7400
Other Europe,Historical,EV sales,Cars,PHEV,2020,sales,21000
Other Europe,Historical,EV sales,Cars,BEV,2020,sales,36000
Other Europe,Historical,EV sales,Cars,BEV,2021,sales,68000
Other Europe,Historical,EV sales,Cars,PHEV,2021,sales,41000
Poland,Historical,EV sales,Cars,BEV,2010,sales,15
Poland,Historical,EV sales,Cars,PHEV,2010,sales,1
Poland,Historical,EV sales,Cars,BEV,2011,sales,43
Poland,Historical,EV sales,Cars,BEV,2012,sales,44
Poland,Historical,EV sales,Cars,PHEV,2012,sales,4
Poland,Historical,EV sales,Cars,PHEV,2013,sales,6
Poland,Historical,EV sales,Cars,BEV,2013,sales,45
Poland,Historical,EV sales,Cars,BEV,2014,sales,140
Poland,Historical,EV sales,Cars,PHEV,2014,sales,61
Poland,Historical,EV sales,Cars,PHEV,2015,sales,160
Poland,Historical,EV sales,Cars,BEV,2015,sales,180
Poland,Historical,EV sales,Cars,BEV,2016,sales,330
Poland,Historical,EV sales,Cars,PHEV,2016,sales,380
Poland,Historical,EV sales,Cars,PHEV,2017,sales,680
Poland,Historical,EV sales,Cars,BEV,2017,sales,920
